TOP.5e9699dd.0000626c	START
TOP.5e9699dd.0000626c	user_options->markov_classic	0
TOP.5e9699dd.0000626c	user_options->markov_disable	0
TOP.5e9699dd.0000626c	user_options->markov_threshold	256
TOP.5e9699dd.0000626c	user_options->opencl_info	0
TOP.5e9699dd.0000626c	user_options->opencl_vector_width	0
TOP.5e9699dd.0000626c	user_options->optimized_kernel_enable	0
TOP.5e9699dd.0000626c	user_options->outfile_autohex	1
TOP.5e9699dd.0000626c	user_options->outfile_check_timer	5
TOP.5e9699dd.0000626c	user_options->outfile_format	3
TOP.5e9699dd.0000626c	user_options->wordlist_autohex_disable	0
TOP.5e9699dd.0000626c	user_options->potfile_disable	0
TOP.5e9699dd.0000626c	user_options->progress_only	0
TOP.5e9699dd.0000626c	user_options->quiet	0
TOP.5e9699dd.0000626c	user_options->remove	0
TOP.5e9699dd.0000626c	user_options->remove_timer	60
TOP.5e9699dd.0000626c	user_options->restore	0
TOP.5e9699dd.0000626c	user_options->restore_disable	0
TOP.5e9699dd.0000626c	user_options->restore_timer	60
TOP.5e9699dd.0000626c	user_options->rp_files_cnt	0
TOP.5e9699dd.0000626c	user_options->rp_gen	0
TOP.5e9699dd.0000626c	user_options->rp_gen_func_max	4
TOP.5e9699dd.0000626c	user_options->rp_gen_func_min	1
TOP.5e9699dd.0000626c	user_options->rp_gen_seed	0
TOP.5e9699dd.0000626c	user_options->runtime	0
TOP.5e9699dd.0000626c	user_options->scrypt_tmto	0
TOP.5e9699dd.0000626c	user_options->segment_size	33554432
TOP.5e9699dd.0000626c	user_options->self_test_disable	0
TOP.5e9699dd.0000626c	user_options->slow_candidates	0
TOP.5e9699dd.0000626c	user_options->show	0
TOP.5e9699dd.0000626c	user_options->speed_only	0
TOP.5e9699dd.0000626c	user_options->spin_damp	8
TOP.5e9699dd.0000626c	user_options->status	0
TOP.5e9699dd.0000626c	user_options->status_timer	10
TOP.5e9699dd.0000626c	user_options->stdout_flag	0
TOP.5e9699dd.0000626c	user_options->usage	0
TOP.5e9699dd.0000626c	user_options->username	0
TOP.5e9699dd.0000626c	user_options->veracrypt_pim	0
TOP.5e9699dd.0000626c	user_options->version	0
TOP.5e9699dd.0000626c	user_options->workload_profile	2
TOP.5e9699dd.0000626c	user_options->brain_client	0
TOP.5e9699dd.0000626c	user_options->brain_client_features	2
TOP.5e9699dd.0000626c	user_options->brain_server	0
TOP.5e9699dd.0000626c	user_options->brain_port	6863
TOP.5e9699dd.0000626c	user_options->brain_session	0
TOP.5e9699dd.0000626c	hashes->hashfile	8989_1586902268.hccapx
TOP.5e9699dd.0000626c	hashes->hashlist_mode	4
TOP.5e9699dd.0000626c	hashes->hashlist_format	0
TOP.5e9699dd.0000626c	hashes->hashes_cnt	0
TOP.5e9699dd.0000626c	hashes->digests_cnt	2
TOP.5e9699dd.0000626c	hashes->digests_done	0
TOP.5e9699dd.0000626c	hashes->salts_cnt	1
TOP.5e9699dd.0000626c	hashes->salts_done	0
TOP.5e9699dd.0000626c	proc_start	1586928093
TOP.5e9699dd.0000626c	proc_stop	1586928100
TOP.5e9699dd.0000626c	STOP
TOP.5e969a98.0009866b	START
TOP.5e969a98.0009866b	user_options->separator	:
TOP.5e969a98.0009866b	user_options->encoding_from	utf-8
TOP.5e969a98.0009866b	user_options->encoding_to	utf-8
TOP.5e969a98.0009866b	user_options->potfile_path	8989
TOP.5e969a98.0009866b	user_options->rule_buf_l	:
TOP.5e969a98.0009866b	user_options->rule_buf_r	:
TOP.5e969a98.0009866b	user_options->session	8989
TOP.5e969a98.0009866b	user_options->limit	0
TOP.5e969a98.0009866b	user_options->skip	0
TOP.5e969a98.0009866b	user_options->attack_mode	3
TOP.5e969a98.0009866b	user_options->benchmark	0
TOP.5e969a98.0009866b	user_options->benchmark_all	0
TOP.5e969a98.0009866b	user_options->bitmap_max	18
TOP.5e969a98.0009866b	user_options->bitmap_min	16
TOP.5e969a98.0009866b	user_options->debug_mode	0
TOP.5e969a98.0009866b	user_options->example_hashes	0
TOP.5e969a98.0009866b	user_options->force	0
TOP.5e969a98.0009866b	user_options->hwmon_disable	0
TOP.5e969a98.0009866b	user_options->hwmon_temp_abort	90
TOP.5e969a98.0009866b	user_options->hash_mode	2500
TOP.5e969a98.0009866b	user_options->hex_charset	0
TOP.5e969a98.0009866b	user_options->hex_salt	0
TOP.5e969a98.0009866b	user_options->hex_wordlist	0
TOP.5e969a98.0009866b	user_options->increment	0
TOP.5e969a98.0009866b	user_options->increment_max	256
TOP.5e969a98.0009866b	user_options->increment_min	1
TOP.5e969a98.0009866b	user_options->keep_guessing	0
TOP.5e969a98.0009866b	user_options->kernel_accel	0
TOP.5e969a98.0009866b	user_options->kernel_loops	0
TOP.5e969a98.0009866b	user_options->kernel_threads	0
TOP.5e969a98.0009866b	user_options->keyspace	0
TOP.5e969a98.0009866b	user_options->left	0
TOP.5e969a98.0009866b	user_options->logfile_disable	0
TOP.5e969a98.0009866b	user_options->loopback	0
TOP.5e969a98.0009866b	user_options->machine_readable	0
TOP.5e969a98.0009866b	user_options->markov_classic	0
TOP.5e969a98.0009866b	user_options->markov_disable	0
TOP.5e969a98.0009866b	user_options->markov_threshold	256
TOP.5e969a98.0009866b	user_options->opencl_info	0
TOP.5e969a98.0009866b	user_options->opencl_vector_width	0
TOP.5e969a98.0009866b	user_options->optimized_kernel_enable	0
TOP.5e969a98.0009866b	user_options->outfile_autohex	1
TOP.5e969a98.0009866b	user_options->outfile_check_timer	5
TOP.5e969a98.0009866b	user_options->outfile_format	3
TOP.5e969a98.0009866b	user_options->wordlist_autohex_disable	0
TOP.5e969a98.0009866b	user_options->potfile_disable	0
TOP.5e969a98.0009866b	user_options->progress_only	0
TOP.5e969a98.0009866b	user_options->quiet	0
TOP.5e969a98.0009866b	user_options->remove	0
TOP.5e969a98.0009866b	user_options->remove_timer	60
TOP.5e969a98.0009866b	user_options->restore	0
TOP.5e969a98.0009866b	user_options->restore_disable	0
TOP.5e969a98.0009866b	user_options->restore_timer	60
TOP.5e969a98.0009866b	user_options->rp_files_cnt	0
TOP.5e969a98.0009866b	user_options->rp_gen	0
TOP.5e969a98.0009866b	user_options->rp_gen_func_max	4
TOP.5e969a98.0009866b	user_options->rp_gen_func_min	1
TOP.5e969a98.0009866b	user_options->rp_gen_seed	0
TOP.5e969a98.0009866b	user_options->runtime	0
TOP.5e969a98.0009866b	user_options->scrypt_tmto	0
TOP.5e969a98.0009866b	user_options->segment_size	33554432
TOP.5e969a98.0009866b	user_options->self_test_disable	0
TOP.5e969a98.0009866b	user_options->slow_candidates	0
TOP.5e969a98.0009866b	user_options->show	0
TOP.5e969a98.0009866b	user_options->speed_only	0
TOP.5e969a98.0009866b	user_options->spin_damp	8
TOP.5e969a98.0009866b	user_options->status	0
TOP.5e969a98.0009866b	user_options->status_timer	10
TOP.5e969a98.0009866b	user_options->stdout_flag	0
TOP.5e969a98.0009866b	user_options->usage	0
TOP.5e969a98.0009866b	user_options->username	0
TOP.5e969a98.0009866b	user_options->veracrypt_pim	0
TOP.5e969a98.0009866b	user_options->version	0
TOP.5e969a98.0009866b	user_options->workload_profile	2
TOP.5e969a98.0009866b	user_options->brain_client	0
TOP.5e969a98.0009866b	user_options->brain_client_features	2
TOP.5e969a98.0009866b	user_options->brain_server	0
TOP.5e969a98.0009866b	user_options->brain_port	6863
TOP.5e969a98.0009866b	user_options->brain_session	0
TOP.5e969a98.0009866b	hashes->hashfile	8989_1586902268.hccapx
TOP.5e969a98.0009866b	hashes->hashlist_mode	4
TOP.5e969a98.0009866b	hashes->hashlist_format	0
TOP.5e969a98.0009866b	hashes->hashes_cnt	0
TOP.5e969a98.0009866b	hashes->digests_cnt	2
TOP.5e969a98.0009866b	hashes->digests_done	0
TOP.5e969a98.0009866b	hashes->salts_cnt	1
TOP.5e969a98.0009866b	hashes->salts_done	0
TOP.5e969a98.0009866b	proc_start	1586928280
TOP.5e969a98.0009866b	proc_stop	1586928287
TOP.5e969a98.0009866b	STOP
TOP.5e969b47.0001b0bb	START
TOP.5e969b47.0001b0bb	user_options->separator	:
TOP.5e969b47.0001b0bb	user_options->encoding_from	utf-8
TOP.5e969b47.0001b0bb	user_options->encoding_to	utf-8
TOP.5e969b47.0001b0bb	user_options->potfile_path	8989
TOP.5e969b47.0001b0bb	user_options->rule_buf_l	:
TOP.5e969b47.0001b0bb	user_options->rule_buf_r	:
TOP.5e969b47.0001b0bb	user_options->session	8989
TOP.5e969b47.0001b0bb	user_options->limit	0
TOP.5e969b47.0001b0bb	user_options->skip	0
TOP.5e969b47.0001b0bb	user_options->attack_mode	6
TOP.5e969b47.0001b0bb	user_options->benchmark	0
TOP.5e969b47.0001b0bb	user_options->benchmark_all	0
TOP.5e969b47.0001b0bb	user_options->bitmap_max	18
TOP.5e969b47.0001b0bb	user_options->bitmap_min	16
TOP.5e969b47.0001b0bb	user_options->debug_mode	0
TOP.5e969b47.0001b0bb	user_options->example_hashes	0
TOP.5e969b47.0001b0bb	user_options->force	0
TOP.5e969b47.0001b0bb	user_options->hwmon_disable	0
TOP.5e969b47.0001b0bb	user_options->hwmon_temp_abort	90
TOP.5e969b47.0001b0bb	user_options->hash_mode	2500
TOP.5e969b47.0001b0bb	user_options->hex_charset	0
TOP.5e969b47.0001b0bb	user_options->hex_salt	0
TOP.5e969b47.0001b0bb	user_options->hex_wordlist	0
TOP.5e969b47.0001b0bb	user_options->increment	0
TOP.5e969b47.0001b0bb	user_options->increment_max	256
TOP.5e969b47.0001b0bb	user_options->increment_min	1
TOP.5e969b47.0001b0bb	user_options->keep_guessing	0
TOP.5e969b47.0001b0bb	user_options->kernel_accel	0
TOP.5e969b47.0001b0bb	user_options->kernel_loops	0
TOP.5e969b47.0001b0bb	user_options->kernel_threads	0
TOP.5e969b47.0001b0bb	user_options->keyspace	0
TOP.5e969b47.0001b0bb	user_options->left	0
TOP.5e969b47.0001b0bb	user_options->logfile_disable	0
TOP.5e969b47.0001b0bb	user_options->loopback	0
TOP.5e969b47.0001b0bb	user_options->machine_readable	0
TOP.5e969b47.0001b0bb	user_options->markov_classic	0
TOP.5e969b47.0001b0bb	user_options->markov_disable	0
TOP.5e969b47.0001b0bb	user_options->markov_threshold	256
TOP.5e969b47.0001b0bb	user_options->opencl_info	0
TOP.5e969b47.0001b0bb	user_options->opencl_vector_width	0
TOP.5e969b47.0001b0bb	user_options->optimized_kernel_enable	0
TOP.5e969b47.0001b0bb	user_options->outfile_autohex	1
TOP.5e969b47.0001b0bb	user_options->outfile_check_timer	5
TOP.5e969b47.0001b0bb	user_options->outfile_format	3
TOP.5e969b47.0001b0bb	user_options->wordlist_autohex_disable	0
TOP.5e969b47.0001b0bb	user_options->potfile_disable	0
TOP.5e969b47.0001b0bb	user_options->progress_only	0
TOP.5e969b47.0001b0bb	user_options->quiet	0
TOP.5e969b47.0001b0bb	user_options->remove	0
TOP.5e969b47.0001b0bb	user_options->remove_timer	60
TOP.5e969b47.0001b0bb	user_options->restore	0
TOP.5e969b47.0001b0bb	user_options->restore_disable	0
TOP.5e969b47.0001b0bb	user_options->restore_timer	60
TOP.5e969b47.0001b0bb	user_options->rp_files_cnt	0
TOP.5e969b47.0001b0bb	user_options->rp_gen	0
TOP.5e969b47.0001b0bb	user_options->rp_gen_func_max	4
TOP.5e969b47.0001b0bb	user_options->rp_gen_func_min	1
TOP.5e969b47.0001b0bb	user_options->rp_gen_seed	0
TOP.5e969b47.0001b0bb	user_options->runtime	0
TOP.5e969b47.0001b0bb	user_options->scrypt_tmto	0
TOP.5e969b47.0001b0bb	user_options->segment_size	33554432
TOP.5e969b47.0001b0bb	user_options->self_test_disable	0
TOP.5e969b47.0001b0bb	user_options->slow_candidates	0
TOP.5e969b47.0001b0bb	user_options->show	0
TOP.5e969b47.0001b0bb	user_options->speed_only	0
TOP.5e969b47.0001b0bb	user_options->spin_damp	8
TOP.5e969b47.0001b0bb	user_options->status	0
TOP.5e969b47.0001b0bb	user_options->status_timer	10
TOP.5e969b47.0001b0bb	user_options->stdout_flag	0
TOP.5e969b47.0001b0bb	user_options->usage	0
TOP.5e969b47.0001b0bb	user_options->username	0
TOP.5e969b47.0001b0bb	user_options->veracrypt_pim	0
TOP.5e969b47.0001b0bb	user_options->version	0
TOP.5e969b47.0001b0bb	user_options->workload_profile	2
TOP.5e969b47.0001b0bb	user_options->brain_client	0
TOP.5e969b47.0001b0bb	user_options->brain_client_features	2
TOP.5e969b47.0001b0bb	user_options->brain_server	0
TOP.5e969b47.0001b0bb	user_options->brain_port	6863
TOP.5e969b47.0001b0bb	user_options->brain_session	0
TOP.5e969b47.0001b0bb	hashes->hashfile	8989_1586902268.hccapx
TOP.5e969b47.0001b0bb	hashes->hashlist_mode	4
TOP.5e969b47.0001b0bb	hashes->hashlist_format	0
TOP.5e969b47.0001b0bb	hashes->hashes_cnt	0
TOP.5e969b47.0001b0bb	hashes->digests_cnt	2
TOP.5e969b47.0001b0bb	hashes->digests_done	0
TOP.5e969b47.0001b0bb	hashes->salts_cnt	1
TOP.5e969b47.0001b0bb	hashes->salts_done	0
TOP.5e969b47.0001b0bb	SUB.5e969b5d.00043693	START
TOP.5e969b47.0001b0bb	SUB.5e969b5d.00043693	straight_ctx->dict	./dicts/rockyou.txt
TOP.5e969b47.0001b0bb	SUB.5e969b5d.00043693	mask_ctx->mask	?d?d?d
